item_type,name,time
爱情／动画／奇幻,天气之子,2019-11-01
剧情／犯罪,误杀,2019-12-13
喜剧／动作／悬疑,唐人街探案2,2018-02-16
动画／喜剧／奇幻,哪吒之魔童降世,2019-07-26
爱情／青春／剧情,少年的你,2019-10-25
科幻／灾难／动作,哥斯拉2：怪兽之王,2019-05-31
动作／科幻／惊悚／恐怖,毒液2,2020-06-25
动作／战争,战狼2,2017-07-27
剧情／犯罪／悬疑,吹哨人,2019-12-06
恐怖／惊悚,恐怖电影院2,2017-10-20
剧情／冒险,野性的呼唤,2020-02-21
动作／冒险／奇幻,复仇者联盟4：终局之战,2019-04-24
歌舞,火箭少女101飞行演唱会*广州站,2019-03-30
喜剧／动画／冒险,冰雪奇缘2,2019-11-22
剧情／喜剧／科幻,疯狂的外星人,2019-02-05
灾难,活着,2020-06-24
剧情／传记,中国机长,2019-09-30
剧情／喜剧,两只老虎,2019-11-29
动作／惊悚／灾难,釜山行,2016-05-13
剧情／冒险／科幻,流浪地球,2019-02-05
剧情／喜剧,囧妈,2020-01-25
动作／短片,速度与激情：增压,2015-06-25
动作／科幻／冒险,星球大战：天行者崛起,2019-12-20
剧情,我和我的祖国,2019-09-30
动画／冒险,数码宝贝大冒险：最后的进化·羁绊,2020-02-21
剧情,最美逆行,2020-06-28
科幻／冒险,泰迦奥特曼剧场版 新世代CLIMAX,2020-03-06
剧情／家庭,因爱而伟大,
动作／冒险／科幻,蜘蛛侠：英雄远征,2019-06-28
剧情／犯罪,南方车站的聚会,2019-12-06
